id,fund_name,code,price,price_change,percent_change,date
1,Epoch_European_Equity_Fund_-_I,TDB649,23.39,-0.27,-1.14,"2016-01-02 00:52:49"
15,Epoch_European_Equity_Fund_-_I,TDB649,23.39,-0.27,-1.14,"2016-01-03 22:41:24"
16,Epoch_Global_Equity_Fund_-_I,TDB641,21.37,-0.18,-0.84,"2016-01-03 22:41:24"
2,Epoch_Global_Equity_Fund_-_I,TDB641,21.37,-0.18,-0.84,"2016-01-02 00:52:49"
3,Epoch_Global_Shareholder_Yield_Fund_-_I,TDB231,11.12,-0.11,-0.98,"2016-01-02 00:52:49"
17,Epoch_Global_Shareholder_Yield_Fund_-_I,TDB231,11.12,-0.11,-0.98,"2016-01-03 22:41:25"
18,Epoch_U.S._Large-Cap_Value_Fund_(US$)_-_I,TDB2050,12.92,-0.11,-0.84,"2016-01-03 22:41:26"
1,Epoch_U.S._Large-Cap_Value_Fund_(US$)_-_I,TDB2050,12.92,-0.11,-0.84,"2016-01-02 00:52:50"
19,Epoch_U.S._Large-Cap_Value_Fund_-_I,TDB678,17.95,-0.15,-0.83,"2016-01-03 22:41:26"
2,Epoch_U.S._Large-Cap_Value_Fund_-_I,TDB678,17.95,-0.15,-0.83,"2016-01-02 00:52:50"
18,TD_Asian_Growth_Fund_-_I,TDB642,17.54,0,0,"2016-01-03 22:41:25"
4,TD_Asian_Growth_Fund_-_I,TDB642,17.54,0,0,"2016-01-02 00:52:49"
1,TD_Balanced_Growth_Fund_-_I,TDB970,24.33,-0.14,-0.57,"2016-01-02 00:00:00"
8,TD_Balanced_Growth_Fund_-_I,TDB970,24.33,-0.14,-0.57,"2016-01-03 00:00:00"
2,TD_Balanced_Income_Fund_-_I,TDB160,14.2,-0.07,-0.49,"2016-01-02 00:00:00"
9,TD_Balanced_Income_Fund_-_I,TDB160,14.2,-0.07,-0.49,"2016-01-03 00:00:00"
3,TD_Balanced_Index_Fund_-_I,TDB965,13.65,-0.07,-0.51,"2016-01-02 00:00:00"
10,TD_Balanced_Index_Fund_-_I,TDB965,13.65,-0.07,-0.51,"2016-01-03 00:00:00"
7,TD_Canadian_Blue_Chip_Equity_Fund_-_I,TDB968,32.53,-0.33,-1,"2016-01-03 22:41:21"
1,TD_Canadian_Blue_Chip_Equity_Fund_-_I,TDB968,32.53,-0.33,-1,"2016-01-02 00:52:48"
1,TD_Canadian_Bond_Fund_-_I,TDB162,14.06,0.01,0.07,"2016-01-02 00:52:48"
9,TD_Canadian_Bond_Fund_-_I,TDB162,14.06,0.01,0.07,"2016-01-03 22:41:24"
10,TD_Canadian_Bond_Index_Fund_-_I,TDB966,11.52,0.01,0.09,"2016-01-03 22:41:24"
2,TD_Canadian_Bond_Index_Fund_-_I,TDB966,11.52,0.01,0.09,"2016-01-02 00:52:48"
3,TD_Canadian_Core_Plus_Bond_Fund_-_I,TDB694,11.69,0.01,0.09,"2016-01-02 00:52:49"
11,TD_Canadian_Core_Plus_Bond_Fund_-_I,TDB694,11.69,0.01,0.09,"2016-01-03 22:41:24"
2,TD_Canadian_Equity_Fund_-_I,TDB161,30.26,-0.29,-0.95,"2016-01-02 00:52:48"
8,TD_Canadian_Equity_Fund_-_I,TDB161,30.26,-0.29,-0.95,"2016-01-03 22:41:21"
9,TD_Canadian_Index_Fund_-_I,TDB216,19.97,-0.19,-0.94,"2016-01-03 22:41:21"
3,TD_Canadian_Index_Fund_-_I,TDB216,19.97,-0.19,-0.94,"2016-01-02 00:52:48"
1,TD_Canadian_Money_Market_Fund_-_I,TDB164,0.2,0,0,"2016-01-02 00:52:50"
6,TD_Canadian_Money_Market_Fund_-_I,TDB164,0.2,0,0,"2016-01-03 22:41:25"
4,TD_Canadian_Small-Cap_Equity_Fund_-_I,TDB628,31.6,-0.12,-0.38,"2016-01-02 00:52:48"
10,TD_Canadian_Small-Cap_Equity_Fund_-_I,TDB628,31.6,-0.12,-0.38,"2016-01-03 22:41:21"
7,TD_Canadian_T-Bill_Fund_-_I,TDB167,0.1,0,0,"2016-01-03 22:41:25"
2,TD_Canadian_T-Bill_Fund_-_I,TDB167,0.1,0,0,"2016-01-02 00:52:50"
11,TD_Canadian_Value_Fund_-_I,TDB643,21.31,-0.19,-0.88,"2016-01-03 22:41:23"
5,TD_Canadian_Value_Fund_-_I,TDB643,21.31,-0.19,-0.88,"2016-01-02 00:52:48"
11,TD_Diversified_Monthly_Income_Fund_-_I,TDB159,21.78,-0.12,-0.55,"2016-01-03 00:00:00"
4,TD_Diversified_Monthly_Income_Fund_-_I,TDB159,21.78,-0.12,-0.55,"2016-01-02 00:00:00"
12,TD_Dividend_Growth_Fund_-_I,TDB972,67.23,-0.74,-1.09,"2016-01-03 22:41:23"
6,TD_Dividend_Growth_Fund_-_I,TDB972,67.23,-0.74,-1.09,"2016-01-02 00:52:48"
5,TD_Dividend_Income_Fund_-_I,TDB627,32.3,-0.27,-0.83,"2016-01-02 00:00:00"
12,TD_Dividend_Income_Fund_-_I,TDB627,32.3,-0.27,-0.83,"2016-01-03 00:00:00"
20,TD_Dow_Jones_Industrial_Average_Index_Fund_(US$)_-_I,TDB218,11.08,-0.11,-0.98,"2016-01-03 22:41:26"
3,TD_Dow_Jones_Industrial_Average_Index_Fund_(US$)_-_I,TDB218,11.08,-0.11,-0.98,"2016-01-02 00:52:50"
21,TD_Dow_Jones_Industrial_Average_Index_Fund_-_I,TDB657,15.39,-0.15,-0.97,"2016-01-03 22:41:26"
4,TD_Dow_Jones_Industrial_Average_Index_Fund_-_I,TDB657,15.39,-0.15,-0.97,"2016-01-02 00:52:51"
5,TD_Emerging_Markets_Fund_-_I,TDB638,16.85,0.01,0.06,"2016-01-02 00:52:49"
19,TD_Emerging_Markets_Fund_-_I,TDB638,16.85,0.01,0.06,"2016-01-03 22:41:25"
1,TD_Energy_Fund_-_I,TDB647,17.42,0.11,0.64,"2016-01-02 00:52:50"
10,TD_Energy_Fund_-_I,TDB647,17.42,0.11,0.64,"2016-01-03 22:41:26"
2,TD_Entertainment_&_Communications_Fund_(US$)_-_I,TDB223,42.6,-0.28,-0.65,"2016-01-02 00:52:50"
11,TD_Entertainment_&_Communications_Fund_(US$)_-_I,TDB223,42.6,-0.28,-0.65,"2016-01-03 22:41:26"
3,TD_Entertainment_and_Communications_Fund_-_I,TDB652,59.17,-0.37,-0.62,"2016-01-02 00:52:50"
12,TD_Entertainment_and_Communications_Fund_-_I,TDB652,59.17,-0.37,-0.62,"2016-01-03 22:41:26"
20,TD_European_Index_Fund_-_I,TDB659,10.19,-0.12,-1.16,"2016-01-03 22:41:25"
6,TD_European_Index_Fund_-_I,TDB659,10.19,-0.12,-1.16,"2016-01-02 00:52:49"
12,TD_Global_Bond_Fund_-_I,TDB640,10.14,-0.01,-0.1,"2016-01-03 22:41:24"
4,TD_Global_Bond_Fund_-_I,TDB640,10.14,-0.01,-0.1,"2016-01-02 00:52:49"
7,TD_Global_Low_Volatility_Fund_-_I,TDB2540,16.96,-0.15,-0.88,"2016-01-02 00:52:49"
21,TD_Global_Low_Volatility_Fund_-_I,TDB2540,16.96,-0.15,-0.88,"2016-01-03 22:41:25"
4,TD_Health_Sciences_Fund_(US$)_-_I,TDB225,49.08,-0.39,-0.79,"2016-01-02 00:52:50"
13,TD_Health_Sciences_Fund_(US$)_-_I,TDB225,49.08,-0.39,-0.79,"2016-01-03 22:41:26"
14,TD_Health_Sciences_Fund_-_I,TDB976,68.18,-0.51,-0.74,"2016-01-03 22:41:26"
5,TD_Health_Sciences_Fund_-_I,TDB976,68.18,-0.51,-0.74,"2016-01-02 00:52:50"
5,TD_High_Yield_Bond_Fund_-_I,TDB626,6.01,0,0,"2016-01-02 00:52:49"
13,TD_High_Yield_Bond_Fund_-_I,TDB626,6.01,0,0,"2016-01-03 22:41:24"
22,TD_International_Growth_Fund_-_I,TDB201,11.45,-0.11,-0.95,"2016-01-03 22:41:25"
8,TD_International_Growth_Fund_-_I,TDB201,11.45,-0.11,-0.95,"2016-01-02 00:52:49"
9,TD_International_Index_Currency_Neutral_Fund_-_I,TDB656,7.01,-0.04,-0.57,"2016-01-02 00:52:49"
23,TD_International_Index_Currency_Neutral_Fund_-_I,TDB656,7.01,-0.04,-0.57,"2016-01-03 22:41:25"
24,TD_International_Index_Fund_-_I,TDB964,12.58,-0.13,-1.02,"2016-01-03 22:41:25"
10,TD_International_Index_Fund_-_I,TDB964,12.58,-0.13,-1.02,"2016-01-02 00:52:49"
25,TD_Japanese_Growth_Fund_-_I,TDB650,8.87,-0.09,-1,"2016-01-03 22:41:25"
11,TD_Japanese_Growth_Fund_-_I,TDB650,8.87,-0.09,-1,"2016-01-02 00:52:49"
12,TD_Japanese_Index_Fund_-_I,TDB658,10.89,-0.12,-1.09,"2016-01-02 00:52:49"
26,TD_Japanese_Index_Fund_-_I,TDB658,10.89,-0.12,-1.09,"2016-01-03 22:41:25"
27,TD_Latin_American_Growth_Fund_(US$)_-_I,TDB227,11.98,0.05,0.42,"2016-01-03 22:41:25"
13,TD_Latin_American_Growth_Fund_(US$)_-_I,TDB227,11.98,0.05,0.42,"2016-01-02 00:52:50"
14,TD_Latin_American_Growth_Fund_-_I,TDB651,16.64,0.07,0.42,"2016-01-02 00:52:50"
28,TD_Latin_American_Growth_Fund_-_I,TDB651,16.64,0.07,0.42,"2016-01-03 22:41:25"
13,TD_Monthly_Income_Fund_-_I,TDB622,18.77,-0.12,-0.64,"2016-01-03 00:00:00"
6,TD_Monthly_Income_Fund_-_I,TDB622,18.77,-0.12,-0.64,"2016-01-02 00:00:00"
14,TD_Mortgage_Fund_-_I,TDB621,59.65,0.05,0.08,"2016-01-03 22:41:24"
6,TD_Mortgage_Fund_-_I,TDB621,59.65,0.05,0.08,"2016-01-02 00:52:49"
22,TD_Nasdaq®_Index_Fund_-_I,TDB981,10.76,-0.14,-1.28,"2016-01-03 22:41:26"
5,TD_Nasdaq®_Index_Fund_-_I,TDB981,10.76,-0.14,-1.28,"2016-01-02 00:52:51"
23,TD_North_American_Dividend_Fund_(US$)_-_I,TDB228,16.28,-0.15,-0.91,"2016-01-03 22:41:26"
6,TD_North_American_Dividend_Fund_(US$)_-_I,TDB228,16.28,-0.15,-0.91,"2016-01-02 00:52:51"
24,TD_North_American_Dividend_Fund_-_I,TDB619,22.61,-0.2,-0.88,"2016-01-03 22:41:26"
7,TD_North_American_Dividend_Fund_-_I,TDB619,22.61,-0.2,-0.88,"2016-01-02 00:52:51"
6,TD_Precious_Metals_Fund__-_I,TDB648,24.65,-0.03,-0.12,"2016-01-02 00:52:50"
15,TD_Precious_Metals_Fund__-_I,TDB648,24.65,-0.03,-0.12,"2016-01-03 22:41:26"
3,TD_Premium_Money_Market_Fund_-_I,TDB165,0.42,0,0,"2016-01-02 00:52:50"
8,TD_Premium_Money_Market_Fund_-_I,TDB165,0.42,0,0,"2016-01-03 22:41:25"
15,TD_Real_Return_Bond_Fund_-_I,TDB646,16.14,0.04,0.25,"2016-01-03 22:41:24"
7,TD_Real_Return_Bond_Fund_-_I,TDB646,16.14,0.04,0.25,"2016-01-02 00:52:49"
16,TD_Resource_Fund_-_I,TDB644,15.49,-0.03,-0.19,"2016-01-03 22:41:26"
7,TD_Resource_Fund_-_I,TDB644,15.49,-0.03,-0.19,"2016-01-02 00:52:50"
8,TD_Science_&_Technology_Fund_(US$)_-_I,TDB224,39.51,-0.18,-0.45,"2016-01-02 00:52:50"
17,TD_Science_&_Technology_Fund_(US$)_-_I,TDB224,39.51,-0.18,-0.45,"2016-01-03 22:41:26"
18,TD_Science_&_Technology_Fund_-_I,TDB645,54.89,-0.23,-0.42,"2016-01-03 22:41:26"
9,TD_Science_&_Technology_Fund_-_I,TDB645,54.89,-0.23,-0.42,"2016-01-02 00:52:50"
16,TD_Short_Term_Bond_Fund_-_I,TDB967,9.91,0.01,0.1,"2016-01-03 22:41:24"
8,TD_Short_Term_Bond_Fund_-_I,TDB967,9.91,0.01,0.1,"2016-01-02 00:52:49"
25,TD_U.S._Blue_Chip_Equity_Fund_(US$)_-_I,TDB220,24.22,-0.27,-1.1,"2016-01-03 22:41:26"
8,TD_U.S._Blue_Chip_Equity_Fund_(US$)_-_I,TDB220,24.22,-0.27,-1.1,"2016-01-02 00:52:51"
26,TD_U.S._Blue_Chip_Equity_Fund_-_I,TDB977,33.65,-0.36,-1.06,"2016-01-03 22:41:26"
9,TD_U.S._Blue_Chip_Equity_Fund_-_I,TDB977,33.65,-0.36,-1.06,"2016-01-02 00:52:51"
27,TD_U.S._Index_Currency_Neutral_Fund_-_I,TDB655,13.33,-0.13,-0.97,"2016-01-03 22:41:26"
10,TD_U.S._Index_Currency_Neutral_Fund_-_I,TDB655,13.33,-0.13,-0.97,"2016-01-02 00:52:51"
28,TD_U.S._Index_Fund_(US$)_-_I,TDB217,16.1,-0.15,-0.92,"2016-01-03 22:41:26"
11,TD_U.S._Index_Fund_(US$)_-_I,TDB217,16.1,-0.15,-0.92,"2016-01-02 00:52:51"
29,TD_U.S._Index_Fund_-_I,TDB661,22.36,-0.2,-0.89,"2016-01-03 22:41:26"
12,TD_U.S._Index_Fund_-_I,TDB661,22.36,-0.2,-0.89,"2016-01-02 00:52:51"
30,TD_U.S._Mid-Cap_Growth_Fund_(US$)_-_I,TDB221,56.81,-0.43,-0.75,"2016-01-03 22:41:27"
13,TD_U.S._Mid-Cap_Growth_Fund_(US$)_-_I,TDB221,56.81,-0.43,-0.75,"2016-01-02 00:52:51"
31,TD_U.S._Mid-Cap_Growth_Fund_-_I,TDB974,78.92,-0.57,-0.72,"2016-01-03 22:41:27"
14,TD_U.S._Mid-Cap_Growth_Fund_-_I,TDB974,78.92,-0.57,-0.72,"2016-01-02 00:52:51"
9,TD_U.S._Money_Market_Fund_(US$)_-_I,TDB166,0.31,0,0,"2016-01-03 22:41:25"
4,TD_U.S._Money_Market_Fund_(US$)_-_I,TDB166,0.31,0,0,"2016-01-02 00:52:50"
5,TD_U.S._Money_Market_Fund_(US$)_-_P,TDB169,0.31,0,0,"2016-01-02 00:52:50"
10,TD_U.S._Money_Market_Fund_(US$)_-_P,TDB169,0.31,0,0,"2016-01-03 22:41:25"
7,TD_U.S._Monthly_Income_Fund_(US$)_-_I,TDB2460,12.92,-0.05,-0.39,"2016-01-02 00:00:00"
14,TD_U.S._Monthly_Income_Fund_(US$)_-_I,TDB2460,12.92,-0.05,-0.39,"2016-01-03 00:00:00"
32,TD_U.S._Quantitative_Equity_Fund_-_I,TDB677,17.85,-0.2,-1.11,"2016-01-03 22:41:27"
15,TD_U.S._Quantitative_Equity_Fund_-_I,TDB677,17.85,-0.2,-1.11,"2016-01-02 00:52:51"
33,TD_U.S._Small-Cap_Equity_Fund_(US$)_-_I,TDB222,24.03,-0.27,-1.11,"2016-01-03 22:41:27"
16,TD_U.S._Small-Cap_Equity_Fund_(US$)_-_I,TDB222,24.03,-0.27,-1.11,"2016-01-02 00:52:51"
17,TD_U.S._Small-Cap_Equity_Fund_-_I,TDB653,33.38,-0.36,-1.07,"2016-01-02 00:52:51"
34,TD_U.S._Small-Cap_Equity_Fund_-_I,TDB653,33.38,-0.36,-1.07,"2016-01-03 22:41:27"
